Auteur(s),Titre,Edition,Date,ISBN
nouvelles,Mots pour maux,L'Harmattan,2005,9782747585521
De Georges Sailland,La châsse du trésor,Le Manuscrit,2001,9782748105841
De Raphaël Péaud,Circus Aléa,Le Manuscrit,2005,9782748156041
De Jean Daubier,Initiation à la voyance par le marc de café,Trajectoire,1999,9782841971121
de Chiraz à Bagdad,L'Orient sous le voile  De Chiraz à Bagdad  1881-1882,Phébus,1991,9782859401481
De Gerda Wagener,Léo le lion,Illustrations de Reinhard Michl,"27 x 21,5 x 0,6 cm",Éd. Milan
pour les gens qui ont des tas d'argent à jeter par les fenêtres !,Le catalogue des gaspilleurs,400 Coups,2003,9782895401261
Goscinny+Uderzo,Asterix En Corse (Espagnol) Album 20,Hachette,345 g,HACHETTE
Boularand-C,Chouette Allemand 3Eme - Edition 2003,Hatier,25 x 18 cm,HATIER
De Walt Disney company,"Peter Pan, MON LIVRE-COPAIN",Hachette Jeunesse collections Disney,"17 x 16,5 cm",Hachette Jeunesse collections Disney
prévention des cancers,Changer d'alimentation,Marabout,1995,9782501015561
