titre_du_document;titre_secondaire;type_de_document;auteur;lieu_d_edition;editeur;annee_d_edition;isbn;issn;langue;collation;collection;numero_de_collection;cote;mots_cles;volume;numero_de_parution;date_de_parution;date_de_derniere_mise_a_jour
L'entretien compréhensif;L'enquête et ses méthodes;Ouvrage;KAUFMANN Jean-Claude;Paris;Armand Colin;2011;978-2-200-25990-7;;Français;126 p.;La collection universitaire de poche;N°128;1414 KAUF;RESSOURCES HUMAINES/SOCIOLOGIE/ENQUETE/ENTRETIEN/QUESTION D'ENTRETIEN/GUIDE D'ENTRETIEN/EVALUATION/METHODE DE TRAVAIL;;;;2017-09-28
Les finances locales sur la paille ?;Des vaches grasses aux vaches maigres;Ouvrage;CABANNES Michel;Lormont;LE BORD DE L'EAU;2011;978-2-356-87115-2;;;158 p.;L'économie encastrée;;272 CAB;BUDGET/BUDGET LOCAL/FINANCES LOCALES/DEPENSE PUBLIQUE/SECTEUR PUBLIC/IMPOT LOCAL/FISCALITE LOCALE/FISCALITE DES PERSONNES/INEGALITE DES REVENUS/INEGALITE DE RICHESSE/INEGALITE SPATIALE/INEGALITE FISCALE/PEREQUATION/TRANSFERT DE RESSOURCES/DECENTRALISATION/POLITIQUE FINANCIERE/POLITIQUE FISCALE/TAXE PROFESSIONNELLE/COMPENSATION FINANCIERE/MENAGE;;;;2018-12-17
GRENELLE 2;Impacts sur les activités économiques;Ouvrage;Collectif;Paris;LAMY;2010;9-782721-213365;;Français;229 p.;Axe droit;;326 COL;ENVIRONNEMENT/GRENELLE DE L'ENVIRONNEMENT/GRENELLE 2/URBANISME/PLAN LOCAL D'URBANISME/DTA/DTADD/BAIL/COPROPRIETE/TRANSPORT/COMMANDE PUBLIQUE/ENERGIE/CLIMAT/BIODIVERSITE/RISQUE/SANTE /DECHET/RISQUE NATUREL;;;;2011-02-17
"Les ""mises en scène""  juridiques de la décentralisation";Sur la question du territoire français;Ouvrage;CAILLOSSE Jacques;Paris;LGDJ,Lextenso éditions;2009;978-2-275-03361-7;;Français;;DROIT ET SOCIETE;N°52;241 CAI;DROIT PUBLIC/DECENTRALISATION/TERRITOIRE/POLITIQUE LOCALE/INTERET LOCAL/CLAUSE GENERALE DE COMPETENCE/INTERET COMMUNAUTAIRE/ADMINISTRATION LOCALE/ADMINISTRATION TERRITORIALE/DEMOCRATIE LOCALE;;;;2011-01-20
A la conquête des nouveaux territoires en réseaux;Les réalités de l'Internet territorial dans les communes;Ouvrage;EVENO Emmanuel;Voiron;Territorial Editions;2010;978-2-35295-972-4;;Français;138 p.;DOSSIER D'EXPERTS;N° 651;7253 EVE;INFORMATION/MULTIMEDIA/TIC/INTERNET/LABEL/INTERNAUTE/INTERNET TERRITORIAL/POLITIQUE PUBLIQUE/RESEAU/COMMUNE;;;;2011-01-19
Code civil 2017;;Code;Collectif;Paris;DALLOZ;2016;978-2-247-16142-3;;Français;2998 p.;;;01 COL;CODE/CODE CIVIL;;;;2016-11-15
Atlas régional des effectifs étudiants en 2007-2008;;Ouvrage;;Paris;Ministère de l'Enseignement Supérieur et de la Recherche;2009;;;;;;;513 HET/513 MIN;ENSEIGNEMENT SUPERIEUR/ATLAS/ETUDIANT/FRANCE/REGION/REGION DES PAYS DE LA LOIRE;;;;2010-07-12
La note;La note de synthèseLa note administrative;Ouvrage;GEVART Pierre/MACQUART Hervé;Paris;La Documentation française;2017;978-2-11-145141-4;;Français;143 P.;FORMATION ADMINISTRATION CONCOURS;;25 GEV;ADMINISTRATION/CONCOURS/CONCOURS ADMINISTRATIF/NOTE DE SYNTHESE/NOTE ADMINISTRATIVE;;;;2017-10-07
La justice administrative;;Ouvrage;ODENT Bruno/TRUCHET Didier;Paris;PUF;2008;9-782130-564195;;Français;127 p.;QUE SAIS-JE ?;;22411 ODE;JUSTICE/JUSTICE ADMINISTRATIVE/TRIBUNAL ADMINISTRATIF/JURIDICTION ADMINISTRATIVE/PROCES/DECISION JURIDICTIONNELLE/REFERE/RECOURS/VOIE DE RECOURS/CONCOURS ADMINISTRATIF;;;;2010-09-27
Les étudiants en France;Histoire et sociologie d'une nouvelle jeunesse;Ouvrage;;Rennes;Presses Universitaires de Rennes;2009;978-2-7535-0970-2;;Français;427 p.;Le sens social;;513 GRU;ENSEIGNEMENT SUPERIEUR/ETUDIANT/LOGEMENT/INSERTION PROFESSIONNELLE/CULTURE/AUTONOMIE/AUTONOMIE UNIVERSITAIRE/INEGALITE SOCIALE;;;;2010-07-28
Le nouveau management de l'information;La gestion des connaissances au coeur de l'entreprise 2.0;Ouvrage;DESCHAMPS Christophe;;FYP Editions;2009;9-782916-571294;;Français;223 p.;Entreprendre;;75 DES;INFORMATION/GESTION DE L'INFORMATION/WEB 2.0/GESTION DES CONNAISSANCES/KNOWLEDGE MANAGEMENT/GESTION DU TEMPS/SAVOIR;;;;2010-06-24
