titre_du_document;titre_secondaire;type_de_document;auteur;lieu_d_edition;editeur;annee_d_edition;isbn;issn;langue;collation;collection;numero_de_collection;cote;mots_cles;volume;numero_de_parution;date_de_parution;date_de_derniere_mise_a_jour
Piloter les performances RH;La création de valeur par les ressources humaines;Ouvrage;;Rueil-Malmaison;Liaisons;2008;978-2-8788-0770-7;;Français;190 p.;ENTREPRISE&CARRIERES;;1414 MAR;ENTREPRISE/RESSOURCES HUMAINES/GESTION DE PERSONNEL/RECRUTEMENT/COUT/COUT SOCIAL/PILOTAGE SOCIAL/ECONOMIE/INDICATEUR DE PERFORMANCE/DRH;;;;2010-06-07
Bibliothèques et politiques documentaires à l'heure d'Internet;;Ouvrage;CALENGE BERTRAND;Paris;Cercle de la Librairie;2008;978-2-7654-0962-5;;Français;264 p.;Collection Bibliotheques;;615 CAL;BIBLIOTHEQUE/POLITIQUE DOCUMENTAIRE/INTERNET                                    ACQUISITION/POLITIQUE D'ACQUISITION/STRATEGIE DOCUMENTAIRE/COLLECTION/RESSOURCE ELECTRONIQUE/EVOLUTION/LIVRE ELECTRONIQUE/;;;;2010-06-15
L'ouvrage public;;Ouvrage;PETIT Jacques/EVEILLERD Gweltaz;Paris;LexisNexis Litec;2009;978-2-7110-1091-2;;Français;229 p.;LITEC PROFESSIONNELS- urbanisme et construction;;3121 PET;CONSTRUCTION/OUVRAGE PUBLIC/AMENAGEMENT DU TERRITOIRE/CONCOURS;;;;2010-01-04
Ecoquartiers : secrets de fabrication;Analyse critique d'exmples européens;Ouvrage;SOUAMI Taoufik;Paris;Les carnets de l'info;2009;978-2-9166-2844-8;;Français;207 p.;Modes de vie;;3122 SOU;URBANISME/VILLE/VILLE DURABLE/ECOQUARTIER/ENVIRONNEMENT;;;;2009-12-23
La délégation des services sociaux;;Ouvrage;DELAIRE Yves;Paris;Berger-Levrault;2006;;;Français;364 p.;Les indispensables;;2621 DEL;SERVICE PUBLIC/DELEGATION/SERVICE PUBLIC LOCAL/CONTROLE/CONCESSION/REGIE;;;;2009-09-16
Manuel d'usages typographiques;Pour mieux rédiger, présenter, relire et corriger un texte;Manuel;BLUTEAU Lionel/PERON Xavier;Paris;CFPJ Editions;2009;;;Français;188 p.;;;720 BLU;EDITION/TYPOGRAPHIE;;;;2010-07-21
La pollution de l'air;Sources, effets, prévention;Ouvrage;ELICHEGARAY Christian (coordinateur)/ADEME;Paris;Dunod;2008;;;Français;211 p.;;;323 ELI;AIR/POLLUTION ATMOSPHERIQUE/QUALITE DE L'AIR/LUTTE CONTRE LA POLLUTION/SANTE/PREVENTION DES RISQUES/DEVELOPPEMENT DURABLE;;;;2009-07-16
La Loire au centre;;Revue;GRAVELAINE Frédérique DE /SAMOA;Nantes;Association Mémoire et débats;2009;;;Français;62 p.;PLACE PUBLIQUE;;3214 GRA;NANTES/POLITIQUE DE LA VILLE/URBANISME/LOIRE (LA);;N°2;;2019-01-31
La réforme de l'audiovisuel;;Dossier;Collectif;Paris;La Documentation française;2009;;;Français;p.49-55;Regards sur l'actualité;;722 COL;COMMUNICATION AUDIOVISUELLE/AUDIOVISUEL/SERVICE PUBLIC/TELEVISION/RADIO;;N°347;janv-09;2009-05-25
Bâtir des villes durables;Bonnes pratiques et financements européens;Ouvrage;BEAUPUY Jean- Marie;Gap;Yves Michel éditions;2008;;;Français;223 p.;;;3121 BEA;VILLE/URBANISME/POLITIQUE URBAINE/POLITIQUE DE LA VILLE/UNION EUROPEENNE/DEMOGRAPHIE/LOGEMENT/ENVIRONNEMENT/COMPETITIVITE/INTEGRATION SOCIALE/MOBILITE URBAINE;;;;2009-04-29
La ville en négociation;Une approche stratégique du développement urbain;Ouvrage;GUARNAY Maurice/ALBRECHT David;Paris;Harmattan (l');2008;;;Français;321 p.;;;3122 GUA;VILLE/AMENAGEMENT URBAIN/ECONOMIE URBAINE/POLITIQUE DE LA VILLE/URBANISME;;;;2009-01-26
Le droit de la vie scolaire;Ecoles-Collèges-Lycées;Ouvrage;BUTTNER Yann/MAURIN André;Paris;DALLOZ;2007;;;Français;523 p.;;;511 BUT;VIE SCOLAIRE/ELEVE/DROIT;;;;2008-10-23
Logement et cohésion sociale;Le mal-logement au coeur des inégalités;Ouvrage;VANONI Didier/ROBERT Christophe;Paris;La découverte;2007;;;Français;234 p;Alternatives sociales;;313 VAN;LOGEMENT/LOGEMENT SOCIAL/COHESION SOCIALE/EXCLUSION/POLITIQUE DU LOGEMENT;;;;2008-02-09
Les tourismes d'affaires;L'industrie des rencontres et événements professionnels;Revue;Collectif;Paris;EDITIONS TOURISTIQUES EUROPEENNES;2008;;;Français;151 p;les cahiers espaces;;62 COL;TOURISME /TOURISME D'AFFAIRES;;N°97;avr-08;2008-06-30
Le marketing du tourisme;;Ouvrage;FROCHOT Isabelle/LEGOHEREL Patrick;Paris;Dunod;2007;;;Français;296 p;L'Echo touristique;;62 FRO;TOURISME/MARKETING/INFORMATION/COMMUNICATION/EVALUATION/INDUSTRIE DU TOURISME;;;;2008-05-27
Nantes, Nazairiens, qui sommes nous;;Revue;Collectif;Nantes;Association Mémoire et débats;2008;;;Français;p.7-47;PLACE PUBLIQUE;;13 COL;NANTES/SAINT NAZAIRE/POPULATION/MODE DE VIE/JEUNE/GEOGRAPHIE URBAINE/NIVEAU DE VIE/CADASTRE;;7;Janvier-février 2008;2008-04-21
Mondialisation et délocalisation des entreprises;;Ouvrage;EL MOUHOUB MOUHOUD;Paris;La découverte;2015;978-2-7071-7643-1;;;127 p.;REPERES;N°413;83 ELM;INTERNATIONAL/MONDIALISATION/ENTREPRISE/DELOCALISATION/INTERNATIONALISATION/ECHANGE INTERNATIONAL/COMMERCE INTERNATIONAL/IDE/FIRME MULTINATIONALE/CROISSANCE MONDIALE/INNOVATION/SOUS-TRAITANCE;;;;2017-01-13
Où va la fonction publique ?;;Ouvrage;;Paris;Lavauzelle;2016;978-2-7025-1639-3;;;284 p.;;;25 CAL;INSTITUTIONS/ADMINISTRATION/FONCTION PUBLIQUE/SERVICE AU PUBLIC/SERVICE PUBLIC/INNOVATION/USAGER/RELATIONS ADMINISTRATION USAGER/ORGANISATION PUBLIQUE/COACHING/EVALUATION/CREATIVITE/MANAGEMENT/ENQUETE/ENQUETE QUALITATIVE/CONDUITE DU CHANGEMENT/GESTION DU CHANGEMENT;;;;2016-11-24
Le pouvoir des campagnes : la ruralité est une chance pour la France;;Revue;Collectif;Saint-Paul;Village;2016;;;;122 p.;;;314 COL;AMENAGEMENT DU TERRITOIRE/ESPACE RURAL/VILLE/CAMPAGNE/CHAMBRE D'AGRICULTURE/MAISON FAMILIALE RURALE;;Hors-série;oct-16;2016-11-24
La plage;;Ouvrage;NIMIER Marie;Paris;Gallimard;2016;978-2-07-014972-8;;;150 p.;BLANCHE;;615 NIM;CULTURE/LITTERATURE/PRIX/ROMAN;;;;2016-10-27
Baromètre santé 2014;;Ouvrage format pdf;DAVID Sandrine/GOUPIL Marie- Cécile/TALLEC Anne;Nantes;ORS;2016;;;;101 p.;;;642 DAV;SANTE/PAYS DE LA LOIRE/STATISTIQUES/ENQUETE/MALADIE/SANTE MENTALE/NUTRITION/TABAC/TABAGISME/MALADIE CHRONIQUE/OBESITE/SURPOIDS/SURCHARGE PONDERALE/SUICIDE;;;;2016-10-19
Economie des finances publiques;Cours;Ouvrage;HUART Florence;Paris;Dunod;2016;978-2-10-074592-0;;;297 p.;ECO SUP;;27 HUA;ADMINISTRATION/BUDGET/FINANCES PUBLIQUES/ADMINISTRATION PUBLIQUE/COLLECTIVITES LOCALES/SECURITE SOCIALE/LFSS/UNION EUROPEENNE/DEPENSE PUBLIQUE/PRELEVEMENT OBLIGATOIRE/ECONOMIE/ECONOMIE DE LA FINANCE/IMPOT/IMPOT SUR LE REVENU/IMPOT SUR LES SOCIETES/DEFICIT PUBLIC/ENDETTEMENT PUBLIC/INEGALITE DE REVENU/ZONE EURO/CRISE GRECQUE/CRISE DE LA DETTE/CONCOURS ADMINISTRATIF;;;;2016-04-08
Droit institutionnel de l'Union européenne;;Ouvrage;JACQUE Jean-Paul;Paris;DALLOZ;2015;978-2-247-15175-2;;;816 p.;COURS;;811 JAC;EUROPE/UNION EUROPEENNE/DROIT/DROIT DE L'UNION EUROPEENNE/INSTITUTIONS EUROPENNES/CHARTE EUROPENNE/CITOYENNETE EUROPENNE/PARLEMENT EUROPEEN/CONSEIL EUROPEEN/COMMISSION EUROPEENNE/CONTROLE POLITIQUE/CONTROLE JURIDICTIONNEL/DIRECTIVE EUROPEENNE;;;;2018-12-17
